"1","кость пищевая куриная замороженная фасованная 15 кг"
"1","Окорочок цыпленка-бройлера замороженный 12 кг (вес)"
"1","Окорочок бескостный цыпленка-бройлера замороженный фасованный 10 кг"
"1","Набор мелкокусковой из мяса цыпленка-бройлера замороженный фасованный 10 кг"
"1","Тушка кур бройлеров (шеи не отделены)"
"1","Желудки мышечные ЦБ URUSSA  зам. Халяль лоток (ТС)"
"1","Печень ЦБ URUSSA зам. Халяль лоток (ТС)"
"1","Шеи ЦБ URUSSA зам. Халяль лоток (ТС)"
"1","Ноги ЦБ зам. Вес. 15 кг, категория А (M) (CN)"
"1","Ноги ЦБ зам. Вес. 15 кг, категория B (M) (CN)"
"1","НОГИ ЦБ, зам. Вес. 15кг (M) (CN)"
"1","Шеи ЦБ без кожи зам. Вес. 10 кг (М)"
"1","НОГИ ЦБ, зам. Вес. 10 кг (M)"
"1","НОГИ ЦБ зам. Вес. 10 кг (M)"
"1","Ноги ЦБ зам. Вес. 15 кг, категория AB (M)"
"1","Филе грудки ЦБ AN-NOOR зам. Халяль пакет одношовный 2,5 кг., (без кожи, без кости, без малого филе)"
"1","Филе грудки ЦБ AN-NOOR зам. Халяль пакет одношовный 2,5 кг., (без кожи, без кости, без малого филе)"
"1","Тушка ЦБ AN-NOOR зам. Халяль Пакет 1,0 кг.,1 сорт (БПК) ESMA"
"1","Тушка ЦБ AN-NOOR зам. Халяль Пакет 1,1 кг.,1 сорт (БПК) ESMA"
"1","Тушка ЦБ AN-NOOR зам. Халяль Пакет 1,4 кг.,1 сорт (БПК) ESMA"
"1","Филе грудки ЦБ URUSSA зам. Халяль пакет одношовный 2,5 кг., ( без кожи, без кости, без малого филе)"
"1","Филе грудки ЦБ URUSSA зам. Халяль пакет одношовный 2,5 кг., (без кожи, без кости, без малого филе) ("
"1","Тушка ЦБ URUSSA зам. Халяль Пакет 0,9 кг.,1 сорт (БПК)"
"1","Тушка ЦБ URUSSA зам. Халяль Пакет 0,8 кг.,1 сорт (ТПФ)"
"1","Тушка ЦБ URUSSA зам. Халяль Пакет 0,9 кг.,1 сорт (ТПФ)"
"1","Тушка ЦБ URUSSA зам. Халяль Пакет 1,0 кг.,1 сорт (ТПФ)"
"1","Тушка ЦБ URUSSA зам. Халяль Пакет 1,1 кг.,1 сорт (ТПФ)"
"1","Голень ЦБ  зам.  пакет вакуумный 2,0 кг. (НПК)"
"1","Филе бедра без кожи ЦБ  зам.  пакет вакуумный 2,0 кг. (НПК)"
"1","Филе грудки ЦБ  зам.  пакет вакуумный 2,0 кг. (НПК)"
"1","Тушка ЦБ бескостная с кожей AN-NOOR зам. Халяль пакет одношовный 2,5 кг. (НПК)"
"1","Тушка ЦБ бескостная с кожей URUSSA зам. Халяль пакет одношовный 2,5 кг. (НПК)"
"1","Филе грудки ЦБ AN-NOOR зам. Халяль пакет одношовный 2,5 кг.,(без кожи, без кости, без малого филе) ("
"1","Филе ЦБ URUSSA зам. Халяль пакет одношовный 2,5 кг.,  (без кожи, без кости, без малого филе) (БПК)"
"1","Филе ЦБ URUSSA зам. Халяль пакет одношовный 2,5 кг.,  (без кожи, без кости, без малого филе) (НПК)"
"1","Крыло ЦБ плечевая часть зам. вес. 10 кг (Ф) (CN)"
"1","Голень ЦБ Халяль зам. Вес. 10 кг (Ф)"
"1","Крыло локтевая часть ЦБ URUSSA зам. Пакет одношовный 7.5 кг. (Ф) (CN)"
"1","Крыло плечевая часть ЦБ URUSSA зам. Пакет одношовный 7.5 кг. (Ф) (CN)"
"1","Крыло 2-x фаланговое (без кисти)  ЦБ URUSSA зам. Пакет одношовный 7.5 кг. (Ф) (CN)"
"1","Голень ЦБ URUSSA зам. Пакет одношовный 7.5 кг. (Ф) (CN)"
"1","Крыло ЦБ зам. Вес. 15 кг (M)"
"1","Окорочок ЦБ зам. вес., 15 кг (M)"
"1","Тушка ЦБ URUSSA зам. Халяль Пакет 1 сорт СНГ"
"1","Тушка ЦБ URUSSA зам. Халяль Пакет 0,8 кг.,1 сорт СНГ"
"1","Тушка ЦБ URUSSA зам. Халяль Пакет 0,9 кг.,1 сорт СНГ"
"1","Тушка ЦБ URUSSA зам. Халяль Пакет 1,0 кг.,1 сорт СНГ"
"1","Тушка ЦБ URUSSA зам. Халяль Пакет 1,1 кг.,1 сорт СНГ"
"1","Тушка ЦБ URUSSA зам. Халяль Пакет 1,2 кг.,1 сорт СНГ"
"1","Тушка ЦБ URUSSA зам. Халяль Пакет 1,3 кг.,1 сорт СНГ"
"1","Тушка ЦБ URUSSA зам. Халяль Пакет 1,4 кг.,1 сорт СНГ"
"1","Тушка ЦБ URUSSA зам. Халяль Пакет 1,5 кг.,1 сорт СНГ"
"1","Тушка ЦБ URUSSA зам. Халяль Пакет 1,9 кг.,1 сорт СНГ"
"1","Тушка ЦБ URUSSA зам. Халяль Пакет 2,0 кг.,1 сорт СНГ"
"1","Филе грудки ЦБ зам. Вес. 15 кг (М)"
"1","Окорочок ЦБ Халяль зам. Вес. 15 кг (250+ г.) (BQF)"
"1","Окорочок ЦБ Халяль зам. Вес. 15 кг (250- г.) (BQF)"
"1","Тушка ЦБ бескостная с кожей AN-NOOR зам. Халяль пакет одношовный 2,5 кг. (ТПФ)"
"1","Тушка ЦБ бескостная с кожей URUSSA зам. Халяль пакет одношовный 2,5 кг. (ТПФ)"
"1","Бедро ЦБ URUSSA зам. Халяль лоток (ТС)"
"1","Голень ЦБ URUSSA зам. Халяль лоток (ТС)"
"1","Грудка ЦБ URUSSA зам. Халяль лоток (ТС)"
"1","Крыло ЦБ URUSSA зам. Халяль лоток (ТС)"
"1","Окорочок ЦБ URUSSA зам. Халяль лоток (ТС)"
"1","Окорочок ЦБ Халяль, зам. Вес. 15 кг (250+ г.) (BQF)"
"1","Окорочок ЦБ Халяль, зам. Вес. 15 кг (250- г.) (BQF)"
"1","Крыло локтевая часть ЦБ URUSSA зам. Пакет одношовный 7.5 кг. (30-40 гр. ед.) (Ф) (CN)"
"1","Крыло локтевая часть ЦБ URUSSA зам. Пакет одношовный 7.5 кг. (40-50 гр. ед.) (Ф) (CN)"
"1","Крыло плечевая часть ЦБ URUSSA зам. Пакет одношовный 7.5 кг. (40-50 гр. ед.) (Ф) (CN)"
"1","Голень ЦБ URUSSA зам. Пакет одношовный 7.5 кг. (120-130 гр. ед.) (Ф) (CN)"
"1","Голень ЦБ URUSSA зам. Пакет одношовный 7.5 кг. (100-120 гр. ед.) (Ф) (CN)"
"1","Голень ЦБ URUSSA зам. Пакет одношовный 7.5 кг. (80-100 гр. ед.) (М) (CN)"
"1","Бедро ЦБ (без кости, с кожей) AN-NOOR зам. Халяль пакет одношовный 2,5 кг. (НПК)"
"1","Бедро ЦБ (без кости, без кожи) AN-NOOR зам. Халяль пакет одношовный 2,5 кг. (НПК)"
"1","Бедро ЦБ (без кости, с кожей) URUSSA зам. Халяль пакет одношовный 2,5 кг. (НПК)"
"1","Бедро ЦБ (без кости, без кожи) URUSSA зам. Халяль пакет одношовный 2,5 кг. (НПК)"
"1","Окорочок ЦБ (без кости, с кожей) AN-NOOR зам. Халяль пакет одношовный 2,5 кг. (ТПФ)"
